Extension,Description
.001,Fax File
.2bp,Pocket PC Bitmap Image File
.2d,VersaCAD 2D Drawing
.3d,Stereo CAD-3D Image File
.3d2,Stereo CAD-3D 2.0 Image File
.3d4,Stereo CAD-3D 2.0 Image File
.3da,3D Assembly
.3df,3D Format
.3dl,LightConverse 3D Model File
.3dm,Rhino 3D Model
.3dmf,QuickDraw 3D Metafile
.3ds,3D Studio Scene
.3dv,3D VRML World
.3dx,Rhino 3D Model File
.8pbs,Adobe Photoshop Macintosh File
.ac5,ArtCut 5 Document
.ac6,ArtCut 6 Document
.acr,American College of Radiology Format
.act,Genesis3D Actor File
.adc,Scanstudio 16 Color Image
.adi,AutoCAD Device-Independent Binary Plotter File
.afp,Advanced Function Presentation File
.agif,Active GIF Creator Project
.agp,ArtGem Project File
.ai,Adobe Illustrator File
.ais,ACDSee Image Sequence
.amu,Sony Photo Album
.anm,3D Animation File
.apng,Animated Portable Network Graphic
.ard,ArtiosCAD Workspace File
.arr,Amber Graphic File
.art,AOL Compressed Image File
.art,Art Document
.asat,Assemble SAT 3D Model File
.awd,FaxView Document
.bip,Character Studio Biped File
.biz,Broderbund Business Card File
.blend,Blender 3D Data File
.blkrt,Block Artist Image File
.blz,Compressed Bitmap Graphic
.bmc,Embroidery Image File
.bmc,Bitmap Cache File
.bmf,Binary Material File
.bmf,FloorPlan File
.bmp,Bitmap Image File
.br3,Bryce 3 Scene File
.br4,Bryce 4 Scene File
.br5,Bryce 3D Scene File
.bro,CreataCard Brochure Project
.bro,Broadleaf Tree Model
.btf,NationsBank Check Images
.btif,NationsBank Check Images
.bvh,Biovision Hierarchy Animation File
.c4,JEDMICS Image File
.c4d,Cinema 4D Model File
.cag,Clip Art Gallery
.cal,Calendar File
.cal,CALS Raster Graphic
.cals,CALS Raster Graphic File
.cam,Casio Digital Camera Picture
.catpart,CATIA V5 Part Document
.cd2,Click'N Design 3d File
.cdr,CorelDRAW Image File
.cdt,CorelDraw Template
.ce,Computer Eyes Image
.cel,MicroStation Cell Library
.cgm,Computer Graphics Metafile
.cil,ClipArt Gallery Packaged File
.cin,Kodak Cineon Bitmap File
.cit,Intergraph Bitmap Image File
.cld,Canon CD Label Template
.cm2,Poser Camera Set File
.cmp,Solid Edge Wire Harness File
.cmx,Corel Metafile Exchange Image File
.cmz,Compressed Poser Camera Set File
.cnv,Canvas 6-8 Drawing File
.comicdoc,Comic Life Document
.cpc,CPC Compressed Image File
.cph,Corel Print House File
.cps,Corel Photo House File
.cpt,Corel Photo-Paint Document
.cr2,Canon Raw Image File
.cr2,Poser Character Rigging File
.crw,Canon Raw CIFF Image File
.crz,Compressed Poser Character Rigging File
.csd,Compact Shared Document
.csf,Content Secure Format
.csm,Character Studio Marker File
.cut,Dr. Halo Bitmap Image File
.cv5,Canvas 5 Drawing File
.cvg,Calamus Vector Graphic File
.cvi,Canvas Image Format
.cvi,CassiniVision Map Image File
.cvs,Canvas 4 Drawing File
.cvx,Canvas 9 Image File
.dae,Digital Asset Exchange File
.dc,DesignCAD Design File
.dcd,DesignCAD Drawing
.dcm,DICOM Image File
.dcr,Kodak RAW Image File
.dcs,Desktop Color Separation File
.dcx,FAXserve Fax Document
.ddb,Device Dependent Bitmap
.ddrw,ClarisDraw Drawing
.dds,DirectDraw Surface
.des,Pro/DESKTOP CAD File
.des,Corel Designer File
.dff,RenderWare Model File
.dgn,MicroStation Drawing File
.dib,Device Independent Bitmap File
.djvu,DjVu Image
.dng,Digital Negative Image File
.dpd,Ovation Pro File
.dpp,DrawPlus Drawing File
.dpr,Digital InterPlot File
.dpx,Digital Picture Exchange File
.drw,Drawing File
.drw,DESIGNER Drawing
.dtp,Publish-iT Document
.dvl,Virtual Library File
.dwf,Design Web Format File
.dwg,AutoCAD Drawing Database File
.dxb,Drawing Exchange Binary
.dxf,Drawing Exchange Format File
.emf,Enhanced Windows Metafile
.emz,Windows Compressed Enhanced Metafile
.enc,Copysafe Protected PDF File
.eps,Encapsulated PostScript File
.exif,Exchangeable Image Information File
.fac,FACE Graphic
.face,FACE Graphic
.fal,Bitmap Graphic Header Information
.fax,Fax Document
.fbm,Fuzzy Bitmap
.fbx,Autodesk FBX Interchange File
.fc2,Poser Face Pose File
.fcd,FastCAD DOS Drawing
.fcw,FastCAD Windows Drawing
.fcz,Compressed Poser Face Pose File
.fd2,PictureMate Borders File
.fh9,FreeHand 9 Drawing File
.fhd,FreeHand Drawing File
.fig,Xfig Drawing
.fil,Symbian Application Logo File
.fits,Flexible Image Transport System
.flx,FelixCAD Drawing
.fm,FrameMaker Document
.fp3,FloorPlan 3D Design File
.fpx,FlashPix Bitmap Image File
.fs,FlexiSIGN Document
.g,BRL-CAD Geometry File
.gds,Graphic Design System
.gem,Ventura Publisher Document
.gem,GEM Metafile
.geo,VRML Geography File
.gfb,GIFBlast Image
.gif,Graphical Interchange Format File
.gks,Graphics Kernel System
.gmf,Geology Multi-File
.graffle,OmniGraffle Drawing
.gry,Grayscale Image
.gsd,Graphtec Vector Graphics File
.gsm,Graphic Description Language File
.hcx,ChartXL Chart
.hd2,Poser Hand Pose File
.hdp,HD Photo File
.hdr,High Dynamic Range Image File
.hdz,Compressed Poser Hand Pose File
.hf,HF Image
.hip,Houdini Project File
.hipnc,Houdini Apprentice File
.hmk,Hallmark Card Studio File
.hpgl,HP Graphics Language Plotter File
.hpi,Hemera Photo Objects Image File
.hpl,HP-GL Plotter File
.hr,TRS-80 Graphic
.hr2,Poser Hair File
.hrf,Hitachi Raster Format
.hrz,Compressed Poser Hair File
.iam,Inventor Assembly File
.ic1,Low Resolution Imagic Graphic
.ic2,Medium Resolution Imagic Graphic
.ic3,High Resolution Imagic Graphic
.ica,Image Object Content Architecture (IOCA) File
.icb,Targa ICB Bitmap Image
.icn,Windows Icon File
.icon,Icon Image File
.ics,IronCAD 3D Drawing File
.idw,Inventor Drawing
.iff,Amiga IFF Graphic
.iges,IGES File
.igs,IGES Drawing File
.ilbm,Deluxe Paint Graphic
.imj,JFIF Bitmap Image
.indd,Adobe InDesign File
.indt,InDesign Template
.info,ZoomBrowser Image Index File
.ink,Pantone Reference File
.ink,Pocket PC Handwritten Note
.int,SGI Integer Image
.inx,InDesign Interchange File
.ipt,Inventor Part File
.ithmb,iPod Photo Thumbnails
.ivr,Image World
.j,JPEG Image
.j2c,JPEG 2000 Code Stream
.j2k,JPEG 2000 Image
.jas,Paint Shop Pro Compressed Graphic
.jbf,Paint Shop Pro Browser Cache
.jbig,Joint Bi-level Image Group File
.jbr,Paint Shop Pro Brushes File
.jfi,JPEG File Interchange
.jfif,JPEG File Interchange Format
.jif,JPEG Image File
.jiff,JPEG Image File Format
.jng,JPEG Network Graphic
.jp2,JPEG 2000 Core Image File
.jpc,JPEG 2000 Code Stream File
.jpe,JPEG Image
.jpeg,JPEG Image File
.jpf,JPEG 2000 Image
.jpg,JPEG Image File
.jpw,World File for JPEG
.jpx,JPEG 2000 Image File
.jtf,JPEG Tagged Interchange Format
.kdc,Kodak Photo-Enhancer File
.kdk,Kodak Proprietary Decimated TIFF Format
.kfx,Kofax Image File
.kodak,Kodak Photo CD File
.kpg,Kai's Power Goo Graphic
.lab,WordPerfect Label Definition File
.lbm,Deluxe Paint Bitmap Image
.lin,AutoCAD Linetype File
.lt2,Poser Light Set File
.ltz,Compressed Poser Light Set File
.lwo,LightWave 3D Object File
.lws,LightWave 3D Scene File
.lxf,LEGO Digital Designer Model File
.ma,Maya Project File
.mac,MacPaint Image
.mag,Access Diagram
.max,PaperPort Scanned Document
